image_index,image_name,object_id,shape_class,classification_reason,centroid_x_px,centroid_y_px,area_px,area_mm2,primary_size_name,primary_size_mm,equivalent_diameter_px,equivalent_diameter_mm,major_axis_px,minor_axis_px,major_axis_mm,minor_axis_mm,aspect_ratio,pca_ratio,circularity,solidity,rectangularity,radial_cv,convexity_defect_count,max_defect_depth_px,hull_roughness,mean_diff,diff_threshold_used
1,photo_0001.jpg,1,circle,circle_fallback_not_rod_not_irregular,130.32,44.47,245.5,30.7941,circle_diameter_mm,7.5047,17.68,6.2616,20.0,16.0,7.0833,5.6667,1.25,1.2417,0.8326,0.959,0.7672,0.1194,0,0.82,1.0342,57.864,37
1,photo_0001.jpg,2,circle,circle_fallback_not_rod_not_irregular,72.33,58.93,308.5,38.6964,circle_diameter_mm,8.1536,19.82,7.0192,20.0,19.0,7.0833,6.7292,1.0526,1.0938,0.7044,0.91,0.8118,0.1145,1,3.0,1.1045,48.501,37
1,photo_0001.jpg,3,circle,circle_fallback_not_rod_not_irregular,198.48,70.36,296.0,37.1285,circle_diameter_mm,7.966,19.41,6.8756,21.7,18.25,7.6857,6.4629,1.1892,1.3537,0.8058,0.9427,0.7475,0.0955,0,1.316,1.0487,25.859,37
1,photo_0001.jpg,4,circle,circle_fallback_not_rod_not_irregular,146.87,84.2,397.0,49.7973,circle_diameter_mm,8.4272,22.48,7.9627,23.0,22.0,8.1458,7.7917,1.0455,1.0135,0.8924,0.9754,0.7846,0.0367,0,0.727,1.0364,84.816,37
1,photo_0001.jpg,5,circle,circle_fallback_not_rod_not_irregular,54.55,88.15,68.5,8.5922,circle_diameter_mm,3.723,9.34,3.3076,10.0,9.0,3.5417,3.1875,1.1111,1.407,0.7803,0.9448,0.7611,0.0876,0,1.0,1.0732,44.904,37
1,photo_0001.jpg,6,circle,circle_fallback_not_rod_not_irregular,102.14,111.06,79.0,9.9093,circle_diameter_mm,3.8146,10.03,3.552,9.9,9.9,3.5061,3.5061,1.0,1.0231,0.9132,0.9814,0.8061,0.0541,0,0.445,1.0165,66.415,37
1,photo_0001.jpg,7,circle,circle_fallback_not_rod_not_irregular,46.47,115.8,361.0,45.2817,circle_diameter_mm,8.1059,21.44,7.5931,22.0,21.0,7.7917,7.4375,1.0476,1.1608,0.8567,0.9678,0.7814,0.0406,0,1.0,1.0518,74.117,37
1,photo_0001.jpg,8,circle,circle_fallback_not_rod_not_irregular,183.08,124.81,314.5,39.449,circle_diameter_mm,7.6884,20.01,7.0872,21.21,19.09,7.513,6.7617,1.1111,1.1851,0.8711,0.9692,0.7765,0.0563,0,0.727,1.038,72.235,37
1,photo_0001.jpg,9,circle,circle_fallback_not_rod_not_irregular,125.76,138.74,418.5,52.4941,circle_diameter_mm,8.6008,23.08,8.1754,23.33,22.63,8.2643,8.0139,1.0312,1.137,0.8867,0.9733,0.7926,0.031,0,0.727,1.0399,89.352,37
1,photo_0001.jpg,10,circle,circle_fallback_not_rod_not_irregular,152.2,153.52,67.0,8.4041,circle_diameter_mm,3.5526,9.24,3.2711,9.0,9.0,3.1875,3.1875,1.0,1.1083,0.9267,0.9926,0.8272,0.0557,0,0.445,1.0059,64.235,37
1,photo_0001.jpg,11,circle,circle_fallback_not_rod_not_irregular,35.95,159.75,65.5,8.2159,circle_diameter_mm,3.8146,9.13,3.2343,9.9,9.19,3.5061,3.2556,1.0769,1.1445,0.7103,0.9034,0.7198,0.1025,0,1.0,1.0962,33.825,37
1,photo_0001.jpg,12,circle,circle_fallback_not_rod_not_irregular,188.19,178.22,266.5,33.4282,circle_diameter_mm,8.2378,18.42,6.524,21.6,17.0,7.65,6.0208,1.2706,1.2131,0.7841,0.94,0.7258,0.1524,1,1.785,1.0535,53.251,37
1,photo_0001.jpg,13,circle,circle_fallback_not_rod_not_irregular,118.81,184.82,340.0,42.6476,circle_diameter_mm,7.8132,20.81,7.3689,21.21,19.8,7.513,7.0121,1.0714,1.0473,0.9034,0.9827,0.8095,0.0432,0,0.633,1.0305,72.295,37
1,photo_0001.jpg,14,circle,circle_fallback_not_rod_not_irregular,68.75,190.79,343.0,43.0239,circle_diameter_mm,7.978,20.9,7.4013,21.0,21.0,7.4375,7.4375,1.0,1.1468,0.8328,0.9581,0.7778,0.0436,0,1.0,1.0592,69.363,37
1,photo_0001.jpg,15,circle,circle_fallback_not_rod_not_irregular,23.5,191.5,73.0,9.1567,circle_diameter_mm,3.6464,9.64,3.4145,9.0,9.0,3.1875,3.1875,1.0,1.0,0.9355,1.0,0.9012,0.0,0,0.0,1.0,62.511,37
1,photo_0001.jpg,16,circle,circle_fallback_not_rod_not_irregular,156.03,198.06,77.0,9.6584,circle_diameter_mm,3.8146,9.9,3.5068,9.9,9.9,3.5061,3.5061,1.0,1.3302,0.7697,0.9506,0.7857,0.1089,0,1.0,1.0837,57.435,37
1,photo_0001.jpg,17,circle,circle_fallback_not_rod_not_irregular,192.88,215.26,245.0,30.7313,circle_diameter_mm,7.7996,17.66,6.2553,21.21,14.85,7.513,5.2591,1.4286,1.2938,0.8024,0.9589,0.7778,0.1735,0,1.113,1.042,46.21,37
1,photo_0001.jpg,18,circle,circle_fallback_not_rod_not_irregular,132.79,224.61,65.0,8.1532,circle_diameter_mm,3.5526,9.1,3.222,9.0,9.0,3.1875,3.1875,1.0,1.1626,0.8078,0.963,0.8025,0.0989,0,1.0,1.0612,34.835,37
2,photo_0002.jpg,1,irregular,irregular_concave,113.39,39.64,665.5,83.4763,irregular_equiv_diameter_mm,10.3095,29.11,10.3095,32.47,30.45,11.4984,10.7846,1.0662,1.1412,0.6382,0.8768,0.6732,0.1017,5,2.785,1.1229,68.451,83
2,photo_0002.jpg,2,irregular,irregular_concave,59.4,46.33,364.0,45.658,irregular_equiv_diameter_mm,7.6245,21.53,7.6245,32.38,31.1,11.4664,11.0129,1.0412,1.0518,0.129,0.4576,0.3616,0.3213,4,21.922,1.8224,54.727,83
2,photo_0002.jpg,3,irregular,irregular_concave,191.45,52.85,665.5,83.4763,irregular_equiv_diameter_mm,10.3095,29.11,10.3095,34.37,29.77,12.1739,10.5427,1.1547,1.3865,0.591,0.8472,0.6504,0.1183,5,3.93,1.1443,82.495,83
2,photo_0002.jpg,4,irregular,irregular_concave,58.63,85.56,744.0,93.3229,irregular_equiv_diameter_mm,10.9006,30.78,10.9006,35.0,33.0,12.3958,11.6875,1.0606,1.091,0.6689,0.8661,0.6442,0.1077,5,2.914,1.0906,144.458,83
2,photo_0002.jpg,5,irregular,irregular_concave,149.52,90.31,716.0,89.8108,irregular_equiv_diameter_mm,10.6935,30.19,10.6935,34.95,32.78,12.3796,11.6087,1.0664,1.0611,0.6348,0.8473,0.6249,0.1236,5,2.914,1.1068,145.93,83
2,photo_0002.jpg,6,irregular,irregular_concave,98.55,114.06,750.0,94.0755,irregular_equiv_diameter_mm,10.9444,30.9,10.9444,34.65,32.53,12.2712,11.5199,1.0652,1.0768,0.6977,0.8881,0.6655,0.1105,5,2.469,1.0767,166.099,83
2,photo_0002.jpg,7,irregular,irregular_concave,36.8,127.79,763.5,95.7689,irregular_equiv_diameter_mm,11.0425,31.18,11.0425,33.94,32.53,12.0208,11.5199,1.0435,1.1755,0.7032,0.8883,0.6916,0.106,4,3.023,1.0779,148.597,83
2,photo_0002.jpg,8,irregular,irregular_concave,187.3,131.41,712.5,89.3717,irregular_equiv_diameter_mm,10.6673,30.12,10.6673,34.29,32.06,12.1457,11.3554,1.0696,1.1301,0.6562,0.8595,0.648,0.114,5,3.152,1.1008,150.952,83
2,photo_0002.jpg,9,irregular,irregular_concave,146.48,147.58,756.0,94.8281,irregular_equiv_diameter_mm,10.9881,31.03,10.9881,34.0,33.0,12.0417,11.6875,1.0303,1.0915,0.7238,0.8952,0.6738,0.1061,5,2.402,1.0722,169.835,83
2,photo_0002.jpg,10,irregular,irregular_concave,77.27,158.71,829.0,103.9848,irregular_equiv_diameter_mm,11.5064,32.49,11.5064,35.7,34.23,12.6448,12.1249,1.0429,1.1521,0.7249,0.9001,0.6782,0.1018,5,2.691,1.0728,169.443,83
2,photo_0002.jpg,11,irregular,irregular_concave,116.17,179.89,746.0,93.5738,irregular_equiv_diameter_mm,10.9152,30.82,10.9152,35.0,32.86,12.3949,11.6391,1.0649,1.1416,0.694,0.8725,0.6486,0.1092,5,2.984,1.0777,157.528,83
2,photo_0002.jpg,12,irregular,irregular_concave,205.91,184.1,719.0,90.1871,irregular_equiv_diameter_mm,10.7159,30.26,10.7159,34.06,32.6,12.0616,11.5442,1.0448,1.0678,0.6375,0.8657,0.6477,0.1118,5,2.871,1.1117,94.736,83
2,photo_0002.jpg,13,irregular,irregular_concave,36.89,188.99,812.5,101.9151,irregular_equiv_diameter_mm,11.3913,32.16,11.3913,36.77,33.23,13.0225,11.7704,1.1064,1.1821,0.6716,0.886,0.6649,0.1119,5,2.941,1.1055,158.548,83
2,photo_0002.jpg,14,irregular,irregular_concave,163.12,214.15,746.0,93.5738,irregular_equiv_diameter_mm,10.9152,30.82,10.9152,35.51,32.13,12.5756,11.3788,1.1052,1.2157,0.6523,0.8746,0.6539,0.1106,5,3.395,1.1122,118.235,83
2,photo_0002.jpg,15,irregular,irregular_concave,92.41,217.05,730.0,91.5668,irregular_equiv_diameter_mm,10.7975,30.49,10.7975,34.11,32.5,12.0805,11.5094,1.0496,1.3055,0.6791,0.879,0.6586,0.1067,5,2.754,1.0873,110.685,83
3,photo_0003.jpg,1,rod,long_narrow_elongated,80.99,54.93,585.5,73.4416,rod_length_mm,22.4996,27.3,9.67,63.53,10.88,22.4996,3.8525,5.8403,4.5449,0.3556,0.9264,0.8473,0.4741,0,0.98,1.0512,72.594,53
3,photo_0003.jpg,2,rod,long_narrow_elongated,133.16,72.46,152.0,19.066,rod_length_mm,12.0121,13.91,4.927,33.92,9.71,12.0121,3.4377,3.4942,3.8036,0.2788,0.6552,0.4617,0.5416,2,4.0,1.0979,30.005,53
3,photo_0003.jpg,3,rod,long_narrow_elongated,198.35,83.54,306.5,38.4455,rod_length_mm,12.6711,19.75,6.9965,35.78,10.29,12.6711,3.6429,3.4783,2.5188,0.4937,0.933,0.8329,0.3919,0,1.0,1.0817,42.84,53
3,photo_0003.jpg,4,rod,long_narrow_elongated,161.35,95.69,661.0,82.9119,rod_length_mm,23.6466,29.01,10.2746,66.77,11.34,23.6466,4.0175,5.886,5.0162,0.3638,0.9303,0.8728,0.4346,0,0.941,1.0342,115.532,53
3,photo_0003.jpg,5,rod,long_narrow_elongated,66.61,107.09,315.5,39.5744,rod_length_mm,12.553,20.04,7.0984,35.44,10.54,12.553,3.7314,3.3641,2.2121,0.5278,0.9376,0.8449,0.4084,0,0.859,1.0588,98.853,53
3,photo_0003.jpg,6,rod,long_narrow_elongated,39.55,119.59,614.5,77.0792,rod_length_mm,22.3977,27.97,9.9066,63.24,11.59,22.3977,4.1031,5.4587,5.6852,0.374,0.922,0.8387,0.4011,0,1.152,1.0326,97.843,53
3,photo_0003.jpg,7,rod,long_narrow_elongated,96.58,130.69,646.0,81.0304,rod_length_mm,23.0399,28.68,10.1573,65.05,11.31,23.0399,4.0069,5.75,5.6348,0.3935,0.957,0.8777,0.2587,0,0.699,1.0095,116.802,53
3,photo_0003.jpg,8,rod,long_narrow_elongated,138.14,159.81,328.5,41.2051,rod_length_mm,12.3927,20.45,7.2432,34.99,11.12,12.3927,3.9386,3.1465,2.5181,0.597,0.9536,0.8442,0.3871,0,0.844,1.0274,109.353,53
3,photo_0003.jpg,9,rod,long_narrow_elongated,90.12,185.0,500.5,62.7797,rod_length_mm,21.8947,25.24,8.9406,61.82,10.02,21.8947,3.5479,6.1712,4.8582,0.3084,0.8866,0.8082,0.4889,0,1.438,1.0739,38.598,53
3,photo_0003.jpg,10,rod,long_narrow_elongated,189.52,192.36,547.5,68.6751,rod_length_mm,21.8792,26.4,9.3509,61.78,10.39,21.8792,3.6813,5.9434,4.4305,0.346,0.9179,0.8527,0.4793,0,0.98,1.0528,84.326,53
3,photo_0003.jpg,11,rod,long_narrow_elongated,56.69,197.71,583.5,73.1908,rod_length_mm,22.3934,27.26,9.6535,63.23,11.1,22.3934,3.9319,5.6954,4.226,0.3402,0.9182,0.8313,0.4999,0,1.211,1.0699,88.667,53
3,photo_0003.jpg,12,rod,long_narrow_elongated,138.81,211.93,589.5,73.9434,rod_length_mm,22.8428,27.4,9.703,64.5,10.45,22.8428,3.7004,6.1731,4.012,0.3348,0.9225,0.8748,0.511,0,0.922,1.0605,81.817,53
