image_name,object_id,shape_class,display_class,classification_reason,id,class,centroid_x_px,centroid_y_px,area_px,area_mm2,equivalent_diameter_mm,primary_size_name,primary_size_mm,perimeter_px,aspect_ratio,pca_ratio,circularity,solidity,rectangularity,radial_cv,equivalent_diameter_px,major_axis_px,minor_axis_px,major_axis_mm,minor_axis_mm,convexity_defect_count,max_defect_depth_px,hull_roughness,mean_diff,diff_threshold_used
photo_0001.jpg,1,circle,Circular,circle_fallback_not_rod_not_star,1,Circular,130.32,44.47,245.5,30.79,6.26,circle_diameter_mm,7.5,60.87,1.25,1.24,0.833,0.959,0.767,0.119,17.68,20.0,16.0,7.0833,5.6667,0,0.82,1.0342,57.864,37
photo_0001.jpg,2,circle,Circular,circle_fallback_not_rod_not_star,2,Circular,72.33,58.93,308.5,38.7,7.02,circle_diameter_mm,8.15,74.18,1.05,1.09,0.704,0.91,0.812,0.114,19.82,20.0,19.0,7.0833,6.7292,1,3.0,1.1045,48.501,37
photo_0001.jpg,3,circle,Circular,circle_fallback_not_rod_not_star,3,Circular,198.48,70.36,296.0,37.13,6.88,circle_diameter_mm,7.97,67.94,1.19,1.35,0.806,0.943,0.747,0.095,19.41,21.7,18.25,7.6857,6.4629,0,1.316,1.0487,25.859,37
photo_0001.jpg,4,circle,Circular,circle_fallback_not_rod_not_star,4,Circular,146.87,84.2,397.0,49.8,7.96,circle_diameter_mm,8.43,74.77,1.05,1.01,0.892,0.975,0.785,0.037,22.48,23.0,22.0,8.1458,7.7917,0,0.727,1.0364,84.816,37
photo_0001.jpg,5,circle,Circular,circle_fallback_not_rod_not_star,5,Circular,54.55,88.15,68.5,8.59,3.31,circle_diameter_mm,3.72,33.21,1.11,1.41,0.78,0.945,0.761,0.088,9.34,10.0,9.0,3.5417,3.1875,0,1.0,1.0732,44.904,37
photo_0001.jpg,6,circle,Circular,circle_fallback_not_rod_not_star,6,Circular,102.14,111.06,79.0,9.91,3.55,circle_diameter_mm,3.81,32.97,1.0,1.02,0.913,0.981,0.806,0.054,10.03,9.9,9.9,3.5061,3.5061,0,0.445,1.0165,66.415,37
photo_0001.jpg,7,circle,Circular,circle_fallback_not_rod_not_star,7,Circular,46.47,115.8,361.0,45.28,7.59,circle_diameter_mm,8.11,72.77,1.05,1.16,0.857,0.968,0.781,0.041,21.44,22.0,21.0,7.7917,7.4375,0,1.0,1.0518,74.117,37
photo_0001.jpg,8,circle,Circular,circle_fallback_not_rod_not_star,8,Circular,183.08,124.81,314.5,39.45,7.09,circle_diameter_mm,7.69,67.36,1.11,1.19,0.871,0.969,0.777,0.056,20.01,21.21,19.09,7.513,6.7617,0,0.727,1.038,72.235,37
photo_0001.jpg,9,circle,Circular,circle_fallback_not_rod_not_star,9,Circular,125.76,138.74,418.5,52.49,8.18,circle_diameter_mm,8.6,77.01,1.03,1.14,0.887,0.973,0.793,0.031,23.08,23.33,22.63,8.2643,8.0139,0,0.727,1.0399,89.352,37
photo_0001.jpg,10,circle,Circular,circle_fallback_not_rod_not_star,10,Circular,152.2,153.52,67.0,8.4,3.27,circle_diameter_mm,3.55,30.14,1.0,1.11,0.927,0.993,0.827,0.056,9.24,9.0,9.0,3.1875,3.1875,0,0.445,1.0059,64.235,37
photo_0001.jpg,11,circle,Circular,circle_fallback_not_rod_not_star,11,Circular,35.95,159.75,65.5,8.22,3.23,circle_diameter_mm,3.81,34.04,1.08,1.14,0.71,0.903,0.72,0.102,9.13,9.9,9.19,3.5061,3.2556,0,1.0,1.0962,33.825,37
photo_0001.jpg,12,circle,Circular,circle_fallback_not_rod_not_star,12,Circular,188.19,178.22,266.5,33.43,6.52,circle_diameter_mm,8.24,65.36,1.27,1.21,0.784,0.94,0.726,0.152,18.42,21.6,17.0,7.65,6.0208,1,1.785,1.0535,53.251,37
photo_0001.jpg,13,circle,Circular,circle_fallback_not_rod_not_star,13,Circular,118.81,184.82,340.0,42.65,7.37,circle_diameter_mm,7.81,68.77,1.07,1.05,0.903,0.983,0.81,0.043,20.81,21.21,19.8,7.513,7.0121,0,0.633,1.0305,72.295,37
photo_0001.jpg,14,circle,Circular,circle_fallback_not_rod_not_star,14,Circular,68.75,190.79,343.0,43.02,7.4,circle_diameter_mm,7.98,71.94,1.0,1.15,0.833,0.958,0.778,0.044,20.9,21.0,21.0,7.4375,7.4375,0,1.0,1.0592,69.363,37
photo_0001.jpg,15,circle,Circular,circle_fallback_not_rod_not_star,15,Circular,23.5,191.5,73.0,9.16,3.41,circle_diameter_mm,3.65,31.31,1.0,1.0,0.936,1.0,0.901,0.0,9.64,9.0,9.0,3.1875,3.1875,0,0.0,1.0,62.511,37
photo_0001.jpg,16,circle,Circular,circle_fallback_not_rod_not_star,16,Circular,156.03,198.06,77.0,9.66,3.51,circle_diameter_mm,3.81,35.46,1.0,1.33,0.77,0.951,0.786,0.109,9.9,9.9,9.9,3.5061,3.5061,0,1.0,1.0837,57.435,37
photo_0001.jpg,17,circle,Circular,circle_fallback_not_rod_not_star,17,Circular,192.88,215.26,245.0,30.73,6.26,circle_diameter_mm,7.8,61.94,1.43,1.29,0.802,0.959,0.778,0.173,17.66,21.21,14.85,7.513,5.2591,0,1.113,1.042,46.21,37
photo_0001.jpg,18,circle,Circular,circle_fallback_not_rod_not_star,18,Circular,132.79,224.61,65.0,8.15,3.22,circle_diameter_mm,3.55,31.8,1.0,1.16,0.808,0.963,0.802,0.099,9.1,9.0,9.0,3.1875,3.1875,0,1.0,1.0612,34.835,37
